Full Design,Penalized Target Ratio Objective,Penalized Stiffness Objective,True Target Ratio Objective,True Stiffness Objective,Feasibility Score,Stability Score
100010001000000000000100101000000101,0.2229368263946318,-0.9147108104710642,0.9430935423706274,8066.745891328349,1.0,0.9
100010001000000000000101101010001101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
101010001000000001000100101010000101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
100000001100000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
101100001010000001000101101010001101,0.0,-0.5321342441674862,0.0,4523.141075423633,1.0,1.0
101100001010000001000101101010001101,0.0,-0.5321342441674862,0.0,4523.141075423633,1.0,1.0
100010001000000000000101101010001101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
100010001000000000000001001110001101,0.09850610541515845,-0.6851272849423615,0.49253052707579226,5823.581922010073,1.0,1.0
100010001000000000000100101010000101,0.16292707986421504,-0.8599205865286288,0.8146353993210752,7309.324985493345,1.0,1.0
100100001000000000000100101010000101,0.14909558362854797,-0.8028460464800199,0.7454779181427398,6824.191395080169,1.0,1.0
100010001000000000000001001110001101,0.09850610541515845,-0.6851272849423615,0.49253052707579226,5823.581922010073,1.0,1.0
100100001000000000000101101000001101,0.11927646690283837,-0.7287036029625051,0.5963823345141919,6193.980625181293,1.0,1.0
100010001000000000000100101000000101,0.2229368263946318,-0.9147108104710642,0.9430935423706274,8066.745891328349,1.0,0.9
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100010001000000000000100101010000101,0.16292707986421504,-0.8599205865286288,0.8146353993210752,7309.324985493345,1.0,1.0
101100001000000001000101101010001101,0.02981911672570956,-0.570615427845652,0.1490955836285478,4850.231136688042,1.0,1.0
100100001000000000000100101010000101,0.14909558362854797,-0.8028460464800199,0.7454779181427398,6824.191395080169,1.0,1.0
100000001100000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
101100001000000001000101101000001101,0.059638233451419186,-0.6150959726776003,0.29819116725709593,5228.315767759603,1.0,1.0
100100001010000000000101101010001101,0.059638233451419186,-0.6150959726776003,0.29819116725709593,5228.315767759603,1.0,1.0
101100001001000001000101101010001101,0.02832596317258882,-0.5449619390846638,0.1416298158629441,4632.176482219643,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100010001000000000000100101000000101,0.2229368263946318,-0.9147108104710642,0.9430935423706274,8066.745891328349,1.0,0.9
101010001000000001000101101010001101,0.060160565424573306,-0.6251344947560633,0.30080282712286655,5313.643205426538,1.0,1.0
100000001100000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100100001000000000000100101010000101,0.14909558362854797,-0.8028460464800199,0.7454779181427398,6824.191395080169,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100000001100000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
101110001000000001000100101000000101,0.13127343053584867,-0.7328520114198978,0.6563671526792434,6229.242097069131,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
101010001000000001000101101010001101,0.060160565424573306,-0.6251344947560633,0.30080282712286655,5313.643205426538,1.0,1.0
100010001000000000000100101010000101,0.16292707986421504,-0.8599205865286288,0.8146353993210752,7309.324985493345,1.0,1.0
100100001000000000000100101010000101,0.14909558362854797,-0.8028460464800199,0.7454779181427398,6824.191395080169,1.0,1.0
100000001110000000000101101010001101,0.059638233451419186,-0.6150959726776003,0.29819116725709593,5228.315767759603,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100000001110000000000101101010001101,0.059638233451419186,-0.6150959726776003,0.29819116725709593,5228.315767759603,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
101110001000000001000101101010001101,0.05754696570076227,-0.5959939265397626,0.2877348285038114,5065.948375587982,1.0,1.0
101010001000000001000001001110001101,0.039549376245990975,-0.5847444052279638,0.19774688122995487,4970.327444437692,1.0,1.0
101010001000000001000100101010000101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
100000001100000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100100001000000000000100101010000101,0.14909558362854797,-0.8028460464800199,0.7454779181427398,6824.191395080169,1.0,1.0
101010001000000001000100101010000101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
101010001000000001000101101010001101,0.060160565424573306,-0.6251344947560633,0.30080282712286655,5313.643205426538,1.0,1.0
101100001000000001000100101000000101,0.11927646690283836,-0.728703602962505,0.5963823345141918,6193.980625181292,1.0,1.0
100000001011000000000101101000001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100010001000000000000101101010001101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
101100001000000001000101101010001101,0.02981911672570956,-0.570615427845652,0.1490955836285478,4850.231136688042,1.0,1.0
101010001000000001000101101010001101,0.060160565424573306,-0.6251344947560633,0.30080282712286655,5313.643205426538,1.0,1.0
101010001000000001000101101011001101,0.05754696570076227,-0.5959939265397626,0.2877348285038114,5065.948375587982,1.0,1.0
100010001000000000000100101010000101,0.16292707986421504,-0.8599205865286288,0.8146353993210752,7309.324985493345,1.0,1.0
101010001000000001000101101010001101,0.060160565424573306,-0.6251344947560633,0.30080282712286655,5313.643205426538,1.0,1.0
101010001000000001000001001110001101,0.039549376245990975,-0.5847444052279638,0.19774688122995487,4970.327444437692,1.0,1.0
100100001000000000000100101000000101,0.17891470035425755,-0.8937847873379053,0.8945735017712877,7597.170692372195,1.0,1.0
100010001000000000000100101000000101,0.2229368263946318,-0.9147108104710642,0.9430935423706274,8066.745891328349,1.0,0.9
100010001000000000000100101000000101,0.2229368263946318,-0.9147108104710642,0.9430935423706274,8066.745891328349,1.0,0.9
101100001010000001000101101010001101,0.0,-0.5321342441674862,0.0,4523.141075423633,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100010001000000000000101101010001101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
100100001000000000000100101010000101,0.14909558362854797,-0.8028460464800199,0.7454779181427398,6824.191395080169,1.0,1.0
101010001000000001000001001110001101,0.039549376245990975,-0.5847444052279638,0.19774688122995487,4970.327444437692,1.0,1.0
100010001000000000000100101000000101,0.2229368263946318,-0.9147108104710642,0.9430935423706274,8066.745891328349,1.0,0.9
100010001000000000000100101000000101,0.2229368263946318,-0.9147108104710642,0.9430935423706274,8066.745891328349,1.0,0.9
100010001000000000000100101010000101,0.16292707986421504,-0.8599205865286288,0.8146353993210752,7309.324985493345,1.0,1.0
100100001000000000000100101010000101,0.14909558362854797,-0.8028460464800199,0.7454779181427398,6824.191395080169,1.0,1.0
101010001000000001000101101010001101,0.060160565424573306,-0.6251344947560633,0.30080282712286655,5313.643205426538,1.0,1.0
100000001100000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100010001000000000000100101000000101,0.2229368263946318,-0.9147108104710642,0.9430935423706274,8066.745891328349,1.0,0.9
100100001000000000000100101000000101,0.17891470035425755,-0.8937847873379053,0.8945735017712877,7597.170692372195,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
101100001000000001000101101010001101,0.02981911672570956,-0.570615427845652,0.1490955836285478,4850.231136688042,1.0,1.0
100010001000000000000101101010001101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
101010001000000001000100101010000101,0.11154382264439419,-0.7239677883528389,0.557719113221971,6153.726200999131,1.0,1.0
100100001000000000000100101010000101,0.14909558362854797,-0.8028460464800199,0.7454779181427398,6824.191395080169,1.0,1.0
100100001000000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
100010001000000000000100101010000101,0.16292707986421504,-0.8599205865286288,0.8146353993210752,7309.324985493345,1.0,1.0
100000001100000000000101101010001101,0.08945735017712879,-0.6670974743304077,0.44728675088564396,5670.328531808465,1.0,1.0
101010001000000001000001001110001101,0.039549376245990975,-0.5847444052279638,0.19774688122995487,4970.327444437692,1.0,1.0
